Relationship Graph,Saldana,Mallorie,Jasmine,Lana,Jess,Thane,Nash,Grimey,Damian,Rashad,Sameer,Astera,,,,,,,,,,,,,
Saldana,X,"she seems mild, but then warms up to her to besties",not really friends,don�t know her,shes so boring like a drill sergeant,"interesting, but why are you even here?",Cold Rivals -> Rough to one another -> Become Lovers,hes mysterious,"Damian is a heartless prick, and yet she doesn�t really hate him, and can see somehow where he went wrong.",admirable for saving astera,"kind of like affinity for him, looks trustworthy,",Good Friends,,,,,,,,,,,,,
Mallorie,"abrasive at first frenemies, then respect is earned, then they drift apart again only to all team up later.",X,likes her spunk,ally to others,friend,nothing,"nothing in that way, a bit too preachy about the way the world works.","not her cup of tea, in the stranger danger way.",this competition is not how she would spend the money if she were him.,"He is her teddy bear, she loves him flaws and all without regrets.","impressed at his skills at times, he surprises her with his intellect that�s covered by his shyness",very good friends.,,,,,,,,,,,,,
Jasmine,naturally good friends,Really good friend from way back,X,competiton,,"less irritating than sameer, but not really an improvement in her eyes",they earn each others respect through teamwork,"avoid this ""man""",,friend from past by association,"Sameer is a geek and nerd, we don�t mesh.",,,,,,,,,,,,,,
Lana,doesn�t care for her,little bit jelly of her,cool person would like to know better,X,too task masterish for her,nerd,"more to her taste, hello hamsome thing","spiders, he is like spiders crawling on her back",??? Who??,don�t know him,bookworm,"Friends, they compliment one another.",,,,,,,,,,,,,
Jess,"shes ""wake up sunshine"" its time to grind kind of attitude with her. This isnt a tea party.",she envies her ability to make friends and be amicable,she should act her age.,too lax,X,low rank,would make a good soldier,should be investigated also,her mission/target,???,"weak, and should eat protein","her kind of gal, somewhat friendly",,,,,,,,,,,,,
Thane,yawn - pbs nature documentary,rolls eyes,mother figure,who?,picques his interests,X,"Nash is mean to him, somewhat bullyish, but he senses a tenderness there.","gives him the nickname ""grimey""",don�t know him,"good man , his sacrifice makes him question if he would do the same.",out of touch with society,She teaches him how to be himself and be confident in his path,,,,,,,,,,,,,
Nash,"She was not on his radar, just a competitor, that got on his nerves, but gradually, became his love.",he feels nothing towards her,little sister,nothing,respect for hardworking and discipline,"hes na�ve. That desire to be loved by everyone is weakness. Nash sees a little bit of himself in him, but doesn�t want to admit it.",X,he's a weasel that should be stopped,nothing,nothing,"an affinity, like they come from different sides of the tracks, an ally if you would, a contrast.","Dislikes astera, because she ""hopes herself into a winner""",,,,,,,,,,,,,
"""Grimey""",tree hugger,nothing upstairs,brat,ignored,tomboy soldier,sees him as a credible threat despite others not seeing the same,brawny man,X,a quirky old man with more money than time,who???,he seems to be out of place here. Sameer is out of his depth.,easily overlooked.,,,,,,,,,,,,,
Damian,"They have a husband wife like relationship ability. He is reminded of his own love, and yet doesn�t want to be reminded of his old ""na�ve"" self.",,,,,"Damian sees himself in thane and in ""another life"" would have metored him like a son.",,,X,,,,,,,,,,,,,,,,
Rashad,,"LOVERS  ->Mallorie is a crescent moon that outshines the stars and illuminates the sky of my world. Her beauty is engulfing like the sea, it encompasses me like the wind, and it sweeps me into its caressing ebb and flow.",,,,,,,,X,Sameers old friend from high school. They briefly met at the competition and planned to meet up when either of them got home to reach out to the other.,Saves astera from falling which gets him disqualified instead of the whole team.,,,,,,,,,,,,,
Sameer,sameer as he goes on in the series ends up really unrequited loving saldana and her nature.,sameer finds mallorie attractive and stutters around her a bit.,"he's just not that into her, and she dislikes him even more so.",,avoids her,,"Finds the host to be an enigma, but he likes riddles. Something unsettles him and he will get to the bottom of it.","Understands the evil in grimey and likens it to a virus or bug, that should be purged",,"Sameer is encouraged by rashad, and wants to alittle bit be more self aware like him and is inspired some.",X,,,,,,,,,,,,,,
Astera,Good Friends,"Good Friends, she's more than she appears, and is like  sister to her.",girls stick together friend by association,"Friends, that compliment each other. Sometimes share brains finds lana to be commedable, admirable and a stable force in her life.","she takes note of her, and envies how she has her life together, so strong, so regimented, so unlike herself.",She finds herself confiding in him more and comraderie that turns to love.,he's not important,he;s selfish but shes a bit taken in by his charisma,not relevant,dependable team mate,hes trying too hard,x,,,,,,,,,,,,,
